study_hours,attendance,assignments_score,exam_score,sleep_hours,final_result
8.5,93,80,26,9.4,1
10.6,76,54,30,6.2,1
6.9,82,39,82,8.7,1
5.3,33,72,92,7.8,1
6.0,99,64,33,5.5,1
8.2,47,53,89,7.1,1
6.6,32,49,87,9.0,1
5.8,73,71,97,6.3,1
9.3,95,92,81,5.4,1
11.3,45,67,32,9.0,1
6.6,49,95,37,8.1,1
2.7,78,85,40,9.4,1
3.4,92,51,64,3.6,1
9.0,36,24,95,5.0,1
10.3,60,55,20,5.8,1
1.9,49,41,79,5.9,1
4.9,51,79,22,3.4,0
6.6,98,53,81,5.3,1
11.2,49,50,26,5.0,1
4.5,57,61,43,6.9,0
9.8,70,50,80,7.6,1
10.6,83,61,83,3.5,1
9.5,72,95,71,5.5,1
2.0,80,54,51,5.6,1
9.4,32,20,39,8.2,1
3.4,91,33,35,6.4,0
10.2,91,93,62,9.5,1
9.6,85,29,48,7.7,1
9.9,71,44,33,8.3,1
10.4,55,30,21,9.5,1
5.2,86,49,31,5.0,1
5.8,47,52,39,9.4,1
1.5,82,66,82,4.1,1
11.1,62,76,29,9.4,1
2.8,56,79,71,7.7,1
3.1,47,55,89,7.5,1
1.3,95,76,56,9.6,1
8.5,31,43,98,8.2,1
4.9,42,94,64,7.4,1
4.8,33,28,37,8.9,1
4.8,75,33,67,7.1,1
4.3,31,34,26,6.7,0
6.3,44,24,29,7.1,0
11.8,98,44,84,8.1,1
5.4,61,44,41,3.2,0
3.9,47,45,52,5.7,1
9.5,81,48,50,8.4,1
8.8,30,26,49,8.8,1
9.6,34,54,25,9.2,1
4.7,69,45,41,7.7,1
1.5,90,51,75,5.5,1
8.6,56,66,62,5.6,1
8.9,55,50,93,4.0,1
8.2,42,26,66,9.2,1
9.1,56,55,84,3.3,1
9.1,35,58,83,4.5,1
10.8,80,80,31,4.8,1
5.7,78,75,50,7.4,1
3.2,37,95,65,7.8,1
2.4,90,67,36,4.3,0
5.0,65,31,97,8.0,1
1.8,64,53,26,8.4,0
8.0,39,89,98,9.4,1
3.6,72,75,55,4.1,1
3.2,92,67,88,5.6,1
4.6,38,33,43,4.4,0
11.5,70,49,43,5.6,1
4.1,93,58,93,5.6,1
5.4,87,87,91,7.7,1
9.6,69,42,47,3.0,1
4.6,36,39,83,7.9,1
4.8,70,88,73,7.3,1
11.4,71,79,37,7.5,1
1.5,43,85,39,9.3,1
8.6,36,68,64,7.8,1
10.4,39,81,68,8.7,1
1.9,93,33,93,7.6,1
7.9,31,92,43,3.3,1
11.3,38,33,100,9.8,1
4.8,97,86,20,8.6,1
7.2,30,42,92,8.5,1
1.4,56,63,24,6.1,0
2.0,74,70,91,5.7,1
7.1,86,81,61,8.6,1
6.5,51,44,96,9.0,1
7.9,85,23,43,7.9,1
8.7,37,63,49,8.1,1
4.7,31,37,56,6.5,0
4.4,85,95,34,8.3,1
5.0,84,36,75,4.3,1
11.1,33,44,73,5.4,1
6.2,41,37,64,3.0,1
5.0,72,29,82,5.9,1
9.9,44,94,86,7.7,1
4.0,89,44,20,3.4,1
10.0,38,50,68,4.4,1
11.6,73,44,37,5.2,1
6.0,86,25,47,5.8,1
5.3,86,30,27,7.1,1
6.1,75,95,60,8.6,1
11.0,98,48,20,4.5,1
4.7,97,43,70,8.7,1
7.9,33,80,34,6.9,1
5.8,92,91,33,3.5,1
1.6,91,45,54,6.5,1
10.6,80,43,70,5.2,1
8.1,95,51,31,7.3,1
8.0,51,61,27,7.2,1
2.6,36,85,28,7.3,1
6.2,69,79,27,5.3,1
8.7,60,29,63,3.8,1
6.3,47,62,79,3.3,1
7.2,41,36,59,9.5,1
10.8,40,26,57,6.5,1
4.5,51,84,20,3.3,0
7.2,41,90,54,8.2,1
9.4,77,33,47,8.0,1
5.0,40,85,29,4.8,1
5.7,45,74,58,9.9,1
9.8,74,62,68,3.9,1
11.6,49,39,66,6.0,1
1.1,92,65,98,7.7,1
4.4,58,75,43,3.4,1
2.5,78,46,31,6.0,0
10.1,83,60,46,5.6,1
10.1,96,54,33,9.5,1
11.6,40,33,67,8.0,1
10.7,49,90,49,5.2,1
8.3,65,47,44,9.7,1
4.7,99,89,89,8.2,1
7.3,58,30,28,9.7,1
7.4,95,39,70,6.7,1
6.2,39,72,43,3.3,1
2.6,46,98,38,4.7,0
8.9,46,65,37,6.4,1
6.5,77,72,66,8.7,1
10.2,77,25,60,9.5,1
6.8,84,82,92,9.4,1
8.5,37,56,23,4.9,1
8.2,78,91,73,3.9,1
9.6,53,51,69,5.2,1
3.4,74,96,89,9.1,1
6.8,62,69,51,5.8,1
11.4,68,61,94,5.4,1
10.1,63,44,23,9.7,1
7.5,40,53,29,4.7,1
8.6,96,88,51,7.6,1
8.7,81,79,54,4.1,1
11.2,79,54,82,6.2,1
11.7,65,48,80,3.8,1
7.3,43,40,91,9.8,1
2.2,76,85,21,8.7,1
6.7,62,83,56,7.1,1
8.1,61,48,95,8.1,1
7.2,78,68,69,5.9,1
2.8,98,37,90,8.6,1
10.8,60,89,43,7.2,1
10.6,84,76,73,3.6,1
9.2,77,91,51,5.2,1
2.1,88,29,51,4.2,0
9.8,80,64,25,4.6,1
11.7,66,50,24,5.2,1
1.6,86,69,58,4.2,1
2.9,91,58,30,4.6,0
4.6,66,84,76,4.5,1
7.7,41,38,87,5.2,1
2.3,49,87,54,3.2,1
10.4,97,77,72,5.9,1
5.6,43,100,44,4.8,1
11.5,30,94,80,6.2,1
1.2,34,63,29,3.9,0
4.8,67,63,84,8.4,1
10.9,42,60,36,9.3,1
2.0,67,87,62,3.9,1
8.2,100,78,58,8.9,1
7.7,99,46,88,5.3,1
6.0,73,41,31,5.1,1
4.3,60,94,46,3.5,1
4.9,74,58,32,9.9,1
6.6,47,66,30,6.3,1
6.4,77,69,79,9.8,1
4.2,89,28,21,6.3,1
8.3,94,66,27,6.7,1
7.0,82,61,26,7.5,1
1.0,95,70,72,8.6,1
9.7,38,84,46,6.4,1
8.8,62,72,77,5.4,1
11.2,83,39,77,5.9,1
4.6,94,97,23,5.7,1
3.0,51,25,86,6.4,0
6.0,48,45,95,4.5,1
8.7,46,22,45,7.6,1
7.7,44,33,42,4.5,1
10.7,35,56,80,8.6,1
5.0,70,31,45,7.5,1
5.7,61,93,46,9.4,1
11.0,100,73,27,4.3,1
8.9,94,45,40,6.1,1
1.6,38,63,44,7.0,0
11.3,62,89,67,7.0,1
2.1,70,24,57,8.5,1
2.5,35,68,55,9.8,1
8.1,55,83,94,8.8,1
3.5,77,80,98,5.5,1
4.9,31,86,31,5.9,0
8.1,58,91,41,5.9,1
9.5,72,48,55,3.7,1
5.4,90,45,66,7.5,1
10.5,45,100,80,4.1,1
11.0,77,88,25,9.7,1
5.4,70,100,83,6.0,1
6.1,86,46,50,6.0,1
9.4,70,22,87,6.8,1
10.5,94,54,24,8.6,1
6.6,100,70,77,4.2,1
3.4,81,41,35,3.1,1
10.4,52,41,68,6.6,1
9.0,74,99,92,6.8,1
9.0,88,78,71,8.5,1
11.0,84,49,48,8.5,1
1.4,89,82,23,6.7,0
2.5,95,31,89,5.7,1
3.0,42,65,56,7.8,1
11.0,59,100,55,8.9,1
10.6,78,47,71,4.6,1
11.4,74,51,42,8.4,1
4.0,37,71,25,4.8,1
4.8,65,86,25,3.1,1
2.9,72,69,76,8.0,1
10.6,97,58,23,3.5,1
7.8,83,54,85,6.4,1
7.1,77,76,30,5.6,1
11.4,61,44,25,3.9,1
1.4,40,53,58,3.8,0
2.5,87,43,74,7.0,1
3.9,85,45,37,9.6,1
5.3,41,74,99,9.8,1
5.4,38,68,51,3.3,0
4.1,75,56,31,8.3,1
2.9,67,64,88,7.6,1
5.9,66,85,80,5.8,1
9.6,74,60,68,8.4,1
5.2,85,27,58,5.7,1
7.1,69,74,86,7.4,1
4.6,38,55,93,7.5,1
5.5,84,25,42,3.1,0
4.2,63,60,44,6.3,1
5.7,42,84,21,9.8,1
2.3,93,97,99,6.7,1
8.3,34,90,59,8.7,1
5.1,49,24,81,7.7,1
9.5,99,95,31,9.1,1
2.7,64,68,82,6.8,1
10.5,31,61,38,5.3,1
1.8,60,25,84,7.9,1
3.0,41,94,27,5.9,0
5.5,98,91,48,6.2,1
8.8,96,80,95,7.1,1
2.3,81,35,62,5.1,0
4.4,72,36,41,9.8,1
6.2,56,58,89,7.4,1
2.0,54,35,72,7.1,1
2.2,55,92,70,7.6,1
9.1,80,71,80,5.7,1
4.5,40,61,59,4.0,1
7.8,56,61,46,7.2,1
8.6,64,83,78,3.4,1
9.0,97,75,56,7.6,1
9.8,85,63,22,4.7,1
5.2,87,66,20,7.2,1
3.3,52,75,91,7.5,1
9.6,91,73,51,8.5,1
1.2,81,83,59,3.1,1
1.6,66,78,88,8.0,1
11.4,40,65,78,4.1,1
3.3,84,75,65,9.4,1
4.8,61,99,74,6.2,1
5.9,38,78,43,3.2,1
1.9,96,44,82,4.6,1
9.1,51,84,71,8.7,1
4.2,87,91,92,5.4,1
6.3,48,57,75,8.0,1
11.7,62,61,66,8.3,1
5.6,92,98,65,4.0,1
11.6,97,49,92,4.6,1
11.7,76,79,68,7.0,1
11.9,96,87,45,4.9,1
9.4,69,41,69,5.5,1
2.9,79,32,90,9.5,1
9.5,81,93,37,3.6,1
6.0,56,99,78,7.7,1
6.3,58,63,29,6.4,0
6.1,90,97,38,7.3,1
4.0,50,69,74,5.3,1
7.3,39,49,78,7.2,1
7.4,58,29,57,6.9,1
1.3,53,86,49,7.4,1
7.0,48,73,68,9.9,1
11.9,64,88,77,6.4,1
7.6,62,34,70,8.3,1
5.9,93,91,24,5.0,1
8.0,59,70,28,3.0,1
9.3,41,84,20,8.5,1
7.0,60,26,97,7.9,1
1.3,31,23,48,5.3,0
6.0,40,32,69,8.8,1
2.0,35,91,45,9.6,1
11.9,73,87,98,4.8,1
10.5,65,56,36,8.2,1
8.7,59,55,31,8.1,1
11.2,88,73,52,9.3,1
5.4,59,35,21,8.9,1
5.6,38,67,93,4.2,1
9.6,49,29,67,3.4,1
3.3,58,22,49,8.5,1
5.3,76,21,61,7.0,1
6.3,41,58,61,8.6,1
8.6,87,71,78,5.1,1
11.8,59,46,29,8.7,1
4.8,70,41,100,9.7,1
6.1,92,44,78,4.9,1
10.5,49,80,63,3.3,1
5.7,53,42,55,8.0,1
1.3,74,42,26,6.4,0
1.9,82,41,80,7.4,1
1.1,49,69,92,6.9,1
2.4,64,47,29,8.9,0
7.9,82,54,49,4.5,1
3.4,30,23,32,6.2,0
9.9,82,50,78,4.5,1
11.3,88,27,34,7.0,1
5.4,44,51,98,7.6,1
4.3,97,56,92,9.9,1
5.1,63,65,20,9.7,1
5.8,72,99,81,4.0,1
7.4,56,66,27,3.1,0
10.5,38,56,98,9.0,1
2.9,39,59,27,9.3,1
8.4,60,75,44,3.8,1
2.8,91,85,80,4.5,1
7.7,52,46,31,4.2,1
6.3,35,53,83,9.2,1
3.9,51,90,41,7.7,1
9.8,90,95,51,7.1,1
5.2,88,80,36,8.2,1
5.3,82,38,67,7.9,1
8.7,99,77,90,3.2,1
6.9,49,71,81,5.3,1
4.5,78,36,29,3.5,1
3.1,32,78,50,7.0,0
8.4,34,48,60,4.5,1
7.5,42,97,59,9.5,1
6.0,79,96,33,7.6,1
7.3,71,20,92,4.2,1
9.6,70,98,27,5.0,1
3.0,70,40,84,8.7,1
1.3,91,20,97,5.9,1
10.8,85,84,89,5.3,1
1.2,56,41,41,9.6,0
3.1,82,75,21,3.2,1
2.6,99,76,54,3.8,1
11.8,87,58,26,9.3,1
10.3,65,88,58,4.1,1
5.8,74,59,83,6.1,1
8.7,94,71,77,4.9,1
10.3,70,62,99,3.2,1
11.3,96,22,59,6.9,1
2.7,61,68,47,9.1,1
7.8,100,22,53,5.1,1
6.5,50,23,80,3.2,1
6.5,72,68,93,3.7,1
3.6,98,83,97,6.9,1
10.3,96,86,20,4.9,1
7.1,78,97,60,5.8,1
1.3,82,38,47,3.7,0
1.4,74,88,90,3.7,1
6.6,70,58,59,4.1,1
10.7,62,31,32,5.5,1
10.0,35,78,48,7.8,1
6.7,66,28,79,8.3,1
3.7,93,45,52,6.6,1
8.3,72,65,25,5.8,1
7.8,99,99,53,9.9,1
2.9,75,61,90,9.5,1
8.1,78,41,60,6.2,1
11.2,52,33,74,3.1,1
4.4,74,86,30,3.4,1
10.9,75,58,62,7.1,1
6.3,86,76,68,4.5,1
11.8,41,48,84,6.0,1
9.8,67,70,92,6.0,1
2.6,95,78,77,5.5,1
6.2,62,45,35,8.3,1
10.5,71,25,64,3.3,1
9.2,95,74,28,5.3,1
11.0,62,31,72,6.8,1
2.7,87,75,55,7.4,1
8.8,89,21,45,9.1,1
1.8,100,76,23,5.5,1
4.3,35,83,39,3.3,0
10.8,41,33,45,7.6,1
11.4,41,89,56,7.4,1
1.7,57,74,42,3.4,0
10.9,77,42,69,3.6,1
2.0,53,32,48,7.9,1
3.1,71,96,72,7.6,1
10.7,49,51,45,3.5,1
7.7,98,89,23,3.3,1
11.0,71,47,93,5.7,1
8.0,45,34,93,7.6,1
3.1,41,47,68,8.2,1
6.8,64,78,49,9.6,1
2.2,36,29,43,5.9,1
6.9,78,66,89,8.4,1
9.3,74,27,78,4.7,1
9.9,62,47,85,8.0,1
10.8,55,66,89,8.1,1
3.1,55,59,98,5.2,1
3.1,64,50,92,5.0,1
4.9,82,71,49,5.9,1
8.6,69,93,47,6.5,1
2.6,90,44,99,8.8,1
8.6,63,71,98,3.4,1
2.5,33,46,74,6.3,1
9.9,73,84,43,9.0,1
7.0,62,68,48,5.4,1
8.9,51,63,37,7.6,1
1.6,43,82,41,5.7,0
9.1,47,48,91,9.1,1
4.2,47,20,49,4.1,0
8.7,49,41,38,10.0,1
7.0,83,54,72,7.6,1
5.6,56,40,67,4.9,1
3.1,59,32,48,6.9,1
4.1,97,97,51,5.8,1
4.0,81,31,98,4.2,1
5.9,59,64,49,4.3,1
10.9,30,52,64,10.0,1
9.2,72,23,50,4.5,1
6.7,33,57,39,5.4,1
4.2,47,85,80,3.8,1
11.6,81,68,43,10.0,1
9.3,54,98,76,7.8,1
8.4,93,73,95,3.8,1
4.7,80,97,99,6.6,1
8.8,58,28,89,4.7,1
1.9,77,74,81,8.1,1
5.4,43,62,67,7.9,1
10.1,78,73,30,3.5,1
4.7,88,77,91,5.0,1
9.9,98,89,54,3.6,1
7.3,32,41,25,5.4,1
9.4,66,39,82,9.3,1
9.1,70,98,20,5.4,1
6.3,36,87,63,5.3,1
7.5,33,54,95,9.8,1
11.0,60,92,45,7.0,1
4.0,74,30,29,5.9,1
11.3,57,40,20,5.6,1
4.8,36,99,21,9.1,1
6.6,95,85,21,6.2,1
11.6,49,95,81,7.2,1
8.0,100,68,37,7.5,1
10.2,71,99,31,3.2,1
1.9,92,48,99,9.9,1
10.0,78,82,39,8.5,1
3.8,92,99,90,3.6,1
5.4,66,46,90,3.6,1
11.0,85,47,45,10.0,1
9.9,90,32,75,3.0,1
5.8,72,30,23,3.1,0
10.4,84,57,79,9.2,1
3.1,87,42,88,4.9,1
1.9,42,29,31,6.4,0
6.4,53,60,25,5.9,0
11.6,30,75,55,9.5,1
8.4,68,40,26,3.5,1
7.3,50,49,25,7.3,1
10.1,50,98,45,7.7,1
6.5,90,92,91,9.8,1
9.2,40,51,69,7.5,1
9.3,94,42,71,7.0,1
3.8,68,76,86,5.4,1
8.4,71,39,79,8.4,1
2.1,59,62,33,5.6,0
10.0,88,45,30,8.9,1
10.5,68,35,43,3.1,1
8.7,70,92,42,5.9,1
8.1,82,77,88,4.4,1
6.5,61,76,43,7.2,1
2.0,65,27,22,3.8,1
1.3,93,46,71,4.1,1
8.0,60,84,46,8.0,1
3.3,57,91,32,4.8,0
1.2,99,44,60,9.3,1
9.4,30,51,83,9.6,1
11.4,83,73,50,9.8,1
7.1,58,45,33,7.5,1
8.6,48,59,20,5.8,0
4.3,43,34,80,8.7,1
10.9,57,71,48,6.1,1
7.5,76,38,65,6.5,1
11.2,47,45,39,8.3,1
11.3,34,73,86,7.4,1
2.6,35,48,69,9.1,1
7.6,93,49,65,9.1,1
4.9,68,41,43,4.8,1
7.0,42,54,43,8.8,1
4.1,41,23,63,5.5,0
11.9,40,52,29,4.6,1
9.0,67,30,69,4.9,1
7.4,98,82,94,6.4,1
9.6,44,29,32,3.0,1
11.4,98,49,61,3.2,1
4.6,83,81,35,8.5,1
2.0,31,32,95,6.1,1
5.3,43,43,82,3.8,1
2.2,90,98,81,4.5,1
6.9,83,47,39,5.8,1
2.2,60,90,92,8.1,1
7.9,44,23,82,4.3,1
7.7,59,20,92,5.7,1
11.5,72,27,70,6.9,1
2.1,44,89,53,6.4,0
11.7,48,60,88,8.0,1
10.8,95,76,40,7.1,1
3.0,98,25,90,9.0,1
2.9,67,64,74,5.0,1
9.9,94,84,50,8.8,1
10.3,32,42,75,3.1,1
8.3,47,96,79,3.4,1
5.4,66,32,99,3.5,1
7.6,71,29,61,9.3,1
1.6,32,64,73,3.5,1
10.6,94,48,47,4.0,1
9.6,40,55,98,3.3,1
8.9,64,25,75,4.2,1
7.6,33,58,46,6.8,1
8.7,77,36,43,6.6,1
9.7,60,38,95,8.4,1
4.2,56,32,78,9.4,1
5.3,86,24,33,3.4,0
5.4,77,97,36,6.8,1
4.3,93,32,100,4.9,1
5.8,54,49,58,6.7,1
9.9,37,68,21,5.3,1
4.0,50,22,100,5.1,1
11.3,36,81,63,8.4,1
5.4,43,38,74,9.5,1
1.5,76,84,47,5.0,1
5.3,74,65,24,8.7,1
1.7,31,90,81,8.8,1
8.9,97,32,62,4.9,1
10.8,79,48,29,5.0,1
9.1,72,55,73,6.4,1
5.7,57,51,32,6.8,1
1.5,73,31,67,5.2,1
6.7,51,61,83,4.8,1
5.0,66,34,82,7.6,1
2.2,42,93,87,6.7,1
5.9,70,67,33,7.6,1
1.5,44,21,26,8.5,0
1.3,50,81,68,7.1,1
6.6,85,64,79,9.9,1
2.0,84,94,31,3.1,1
2.3,95,77,60,6.8,1
10.4,74,24,93,8.2,1
6.3,98,46,56,9.3,1
5.9,31,63,86,7.8,1
5.7,90,71,64,9.1,1
5.6,77,59,54,5.4,1
1.1,76,75,94,4.7,1
10.3,93,58,60,3.7,1
2.7,50,96,58,5.1,1
4.9,73,49,24,5.4,1
8.7,77,87,74,6.3,1
9.6,67,58,49,9.6,1
11.7,84,73,68,4.0,1
9.0,99,78,75,5.8,1
3.7,86,40,62,5.7,1
1.8,89,88,54,7.0,1
9.4,33,34,40,7.3,1
8.6,30,47,57,7.2,1
4.0,100,92,59,7.2,1
5.3,30,69,96,4.2,1
5.4,30,81,69,6.4,1
3.4,34,92,55,4.6,1
4.4,94,72,50,6.7,1
5.2,60,100,24,3.5,1
8.5,74,46,77,7.2,1
10.1,91,37,61,4.8,1
11.7,39,75,83,4.9,1
9.7,100,25,75,9.6,1
10.5,87,91,43,4.5,1
4.6,55,23,45,8.7,0
7.5,48,36,33,9.1,1
7.3,40,33,62,3.1,1
2.6,64,83,27,10.0,1
8.2,36,21,27,7.6,1
1.7,98,93,57,6.4,1
2.2,97,53,38,6.9,1
3.5,86,22,47,5.1,1
4.2,63,82,64,8.2,1
3.0,64,43,48,3.5,0
3.3,44,82,57,7.6,1
7.9,45,49,54,7.7,1
1.3,41,61,46,3.3,0
10.5,93,30,54,5.4,1
1.2,45,83,21,4.5,0
10.1,48,89,62,8.1,1
4.0,39,34,55,6.9,1
1.4,41,75,98,9.5,1
9.5,35,71,23,8.8,1
4.0,85,91,92,4.2,1
3.9,33,66,39,9.8,1
4.1,54,25,79,9.0,1
10.3,99,65,67,5.0,1
11.7,55,59,34,9.8,1
9.9,40,36,98,4.8,1
11.7,85,53,68,8.4,1
7.4,88,97,81,8.0,1
10.1,99,83,78,6.2,1
4.5,57,98,41,6.8,1
5.3,54,84,83,4.7,1
6.3,48,40,84,4.7,1
4.8,30,32,72,6.1,1
1.9,53,83,56,8.1,1
6.7,64,73,36,4.0,1
10.5,85,68,78,9.9,1
10.5,97,42,68,6.5,1
8.8,99,94,76,9.8,1
1.5,38,34,83,9.2,1
10.5,40,95,65,5.8,1
9.5,75,45,97,8.0,1
6.5,31,47,49,6.8,1
9.0,81,75,28,5.0,1
4.7,65,30,38,9.5,0
2.6,79,68,67,7.8,1
7.3,48,40,93,5.2,1
11.9,74,100,81,3.8,1
2.9,35,88,38,3.4,1
1.1,69,95,28,7.2,0
8.4,31,21,53,8.1,1
8.5,96,51,25,6.1,1
3.7,81,53,97,8.9,1
6.3,54,23,34,6.0,1
7.6,81,36,56,8.8,1
6.4,48,46,72,4.0,1
1.8,99,26,100,8.7,1
2.9,63,31,80,9.8,1
9.2,49,45,45,6.7,1
6.6,56,40,51,9.4,1
6.2,54,47,36,4.0,0
8.3,68,94,49,6.3,1
2.0,50,53,97,9.8,1
5.7,39,84,88,5.1,1
3.1,65,31,22,7.9,0
6.2,35,76,67,3.6,1
8.3,30,64,42,4.9,1
3.3,78,99,70,7.0,1
6.4,80,25,82,4.9,1
4.5,32,98,99,7.7,1
9.3,96,48,96,6.8,1
7.0,74,88,52,3.9,1
1.9,97,60,66,7.1,1
6.7,76,25,28,9.3,1
1.1,46,91,86,8.8,1
7.0,73,25,61,7.5,1
11.5,95,43,54,6.2,1
1.3,77,76,77,7.3,1
11.0,83,78,87,9.8,1
3.6,43,46,81,3.1,1
10.3,33,97,96,3.9,1
5.8,74,41,22,3.9,1
11.3,45,22,21,6.7,0
11.0,71,49,37,3.5,1
10.0,48,70,38,9.6,1
8.6,44,46,78,6.9,1
2.3,38,55,55,6.1,1
8.2,45,33,83,5.3,1
3.4,82,63,65,6.4,1
3.3,81,84,89,9.1,1
1.5,93,61,94,6.5,1
5.2,64,34,89,3.5,1
11.7,90,72,77,7.7,1
7.7,81,87,41,5.2,1
6.4,96,99,64,9.0,1
10.3,41,20,79,3.1,1
5.7,100,80,62,3.4,1
9.8,92,52,99,8.5,1
6.6,37,61,55,9.4,1
6.6,74,25,92,8.0,1
3.5,82,63,76,7.8,1
10.9,79,62,80,6.0,1
4.1,43,24,49,7.3,1
4.2,30,90,28,4.6,0
7.5,73,92,89,5.0,1
8.6,58,92,61,5.3,1
6.9,56,25,22,7.3,0
10.4,44,41,54,8.2,1
7.8,84,63,49,9.0,1
7.6,48,85,45,6.9,1
11.9,46,22,75,6.1,1
5.7,30,85,98,4.8,1
7.8,66,91,25,7.8,1
10.6,56,69,25,3.6,1
11.1,56,85,73,4.1,1
7.3,66,79,90,9.2,1
3.7,51,97,78,7.5,1
4.4,55,37,76,3.4,1
1.6,70,73,36,8.4,1
10.0,93,72,80,8.9,1
6.6,62,44,29,8.3,0
8.9,71,78,37,5.3,1
4.5,76,65,63,4.2,1
3.0,87,54,54,8.2,1
2.5,41,96,76,3.8,1
7.7,83,97,76,5.8,1
7.9,34,97,38,3.3,1
1.2,75,24,56,4.1,0
11.6,80,83,45,6.0,1
10.4,93,88,23,6.9,1
7.4,95,57,100,3.3,1
1.2,58,51,94,4.2,1
1.8,42,47,37,8.2,0
8.2,86,83,49,6.9,1
7.6,38,70,62,9.5,1
2.3,64,65,21,3.3,1
2.1,85,95,94,5.9,1
8.9,42,33,63,4.0,1
5.5,73,35,56,4.5,1
10.4,64,89,98,3.4,1
7.8,59,88,35,4.4,1
1.6,80,86,75,9.9,1
11.6,95,80,76,8.2,1
6.3,85,27,55,8.2,1
3.7,69,57,75,9.6,1
6.9,75,58,100,6.2,1
3.0,55,41,27,4.9,0
2.4,86,84,59,3.6,1
4.8,77,85,21,8.8,1
9.1,62,31,20,5.1,0
